Campaign,Campaign Type,Campaign Budget,Campaign Budget Type,Networks,Location,Language,Bidding Strategy,Ad Group,Ad group status,Keyword,Match Type,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2,Campaign Status,Status
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,Enabled,,,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,השקעת נדלן בחול,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,וילה בפיליפינים,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,השקעה בפנגלאו,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,נדלן בוהול,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,וילה השקעה אסיה,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,airbnb השקעה פיליפינים,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,villa investment philippines,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,bohol real estate investment,Phrase,,,,,,,,,,,Enabled
Panglao PV - Israel Brand,,,,,,,,IL - Investment Keywords,,,,,וילה להשקעה - PHP 32.5M,תשואה שנתית 17-25%,"60 שניות מהחוף, בריכה פרטית",2 וילות בלבד בבוהול בין מלונות 5 כוכבים. 60 שניות מחוף. מימון זמין. דיווח השקעה חינם.,"וילה עם בריכה פרטית וג׳קוזי על הגג במחיר PHP 32,500,000. מימון זמין ובעלות חוקית מוסדרת.",https://blue-everest.com/panglao-prime-villas/he,investment,villas,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,Enabled,,,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Investment Intent,Enabled,,,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,,buy villa bohol,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,,villa for sale panglao,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,,property for sale bohol,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,,luxury villa philippines,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Buyer Intent,,beachfront villa panglao,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Investment Intent,,property investment philippines ROI,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Investment Intent,,airbnb investment philippines,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Investment Intent,,real estate investment bohol,Phrase,,,,,,,,,,,Enabled
Panglao PV - Philippines Brand,,,,,,,,PH - Investment Intent,,,,,Panglao Villas - PHP 32.5M,PHP 395K Monthly Income,17-25% Annual ROI,"Luxury 4-bedroom villa beside JW Marriott. 60 seconds to beach. PHP 395,000/month income.","BDO financing. 25% down, 55% over 24 months, 20% on turnover. Reserve: PHP 200,000.",https://blue-everest.com/panglao-prime-villas,villas,invest,,Enabled
