Campaign,Campaign Type,Campaign Budget,Campaign Budget Type,Networks,Location,Language,Bidding Strategy,Ad Group,Keyword,Match Type,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2,Campaign Status
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,השקעת נדלן בחול,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,וילה בפיליפינים,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,השקעה בפנגלאו,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,נדלן בוהול,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,וילה השקעה אסיה,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,airbnb השקעה פיליפינים,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,villa investment philippines,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,bohol real estate investment,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Israel Brand,Search,800,Daily,Google Search,Israel,Hebrew;English,Maximize Conversions,IL - Investment Keywords,,,,וילה להשקעה - PHP 32.5M,תשואה שנתית 17-25%,"60 שניות מהחוף, בריכה פרטית",2 וילות בלבד בבוהול בין מלונות 5 כוכבים. 60 שניות מחוף. מימון זמין. דיווח השקעה חינם.,"וילה עם בריכה פרטית וג׳קוזי על הגג במחיר PHP 32,500,000. מימון זמין ובעלות חוקית מוסדרת.",https://blue-everest.com/panglao-prime-villas/he,investment,villas,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Buyer Intent,buy villa bohol,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Buyer Intent,villa for sale panglao,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Buyer Intent,property for sale bohol,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Buyer Intent,luxury villa philippines,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Buyer Intent,beachfront villa panglao,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Investment Intent,property investment philippines ROI,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/investment,invest,roi,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Investment Intent,airbnb investment philippines,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/investment,invest,roi,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Investment Intent,real estate investment bohol,Phrase,,,,,,,https://blue-everest.com/panglao-prime-villas/investment,invest,roi,Enabled
Panglao PV - Philippines Brand,Search,555,Daily,Google Search,Philippines:Manila;Philippines:Cebu;Philippines:Davao,English,Maximize Conversions,PH - Investment Intent,,,,Panglao Villas - PHP 32.5M,PHP 395K Monthly Income,17-25% Annual ROI,"Luxury 4-bedroom villa beside JW Marriott. 60 seconds to beach. PHP 395,000/month income.","BDO financing. 25% down, 55% over 24 months, 20% on turnover. Reserve: PHP 200,000.",https://blue-everest.com/panglao-prime-villas,villas,invest,Enabled
Panglao PV - Korea Brand,Search,10,Daily,Google Search,South Korea,Korean,Maximize Conversions,,,,,,,,,,https://blue-everest.com/panglao-prime-villas,villas,invest,Paused
